name,category,contraindications,description,drugInteractions,duration,effects,id,intensity,legalStatus,mechanismOfAction,onset,pharmacokinetics,preparation,region,scientificName,sideEffects,tags,therapeuticUses,toxicity,toxicityLD50,activeConstituents,affiliateLink,slug,compounds,sources,needsReview,image,safetyRating,dosage,commonNames,activeCompounds,traditionalUse
"Espeletia grandiflora","Respiratory / Folk Medicine / Andean","Avoid during pregnancy due to unknown effects. No known toxicities in folk doses.","A fuzzy-leaved plant from the páramo cloud forests of the Andes. Used in Colombian and Ecuadorian folk medicine for respiratory and throat ailments. Its woolly foliage helps conserve water and reduce inflammation when brewed.","None documented; likely safe with most respiratory herbs.",,"Cough relief;Lung support;Anti-inflammatory;Moisture retention","espeletia-grandiflora","Mild","Legal (not widely commercialized)","Contains sesquiterpenes and flavonoids with anti-inflammatory and soothing properties. Traditionally believed to aid mucosal healing.","20–40 min","Mildly active orally; effects primarily demulcent and respiratory-soothing.","Leaves steeped in hot water as tea. Rarely encapsulated or extracted.","Colombia, Ecuador, Andean cloud forests","Espeletia grandiflora","Mild GI discomfort if taken in excess. Limited formal studies.","🌫️ Andean;💨 Lung tonic;🍵 Folk remedy;❄️ Cold medicine","Used in herbal teas for bronchitis, sore throat, dry cough, and cold weather ailments. Also respected as a spiritual guardian plant by Andean communities.","Very low. Long traditional use in small communities.","Not established",,,"espeletia-grandiflora",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9872784/;Páramo Herbalism Studies – Colombia National University;Ethnobotany of the Andes, 2019","false",,,,,,
"Tongkat Ali","Aphrodisiac / Adaptogen / Hormonal","Avoid in hormone-sensitive conditions or with steroids. Not for pregnant individuals.","A Southeast Asian root revered for enhancing libido, strength, and masculinity. Traditionally used by men to improve vitality and hormonal health. Now globally marketed as a natural testosterone booster.","May interact with hormone therapies, SSRIs, or antihypertensives.",,"Testosterone boost;Energy;Stress resilience;Libido enhancement","eurycoma-longifolia","Moderate","Legal worldwide","Contains quassinoids like eurycomanone that may increase free testosterone, reduce cortisol, and stimulate dopaminergic and androgenic pathways.","Daily tonic; effects build over days–weeks","Orally bioavailable. Peak effect seen with 1–2 weeks of continuous use. Dose-dependent response observed in studies.","Root decoction, extract capsules (often standardized to eurycomanone ~1–2%).","Malaysia, Indonesia, Thailand","Eurycoma longifolia","Mild restlessness, insomnia, or irritability in high doses. Not typically sedating.","🔥 Aphrodisiac;🏋️ Testosterone;🌿 Adaptogen;🧬 Hormonal","Used for erectile dysfunction, fatigue, depression, infertility, and athletic performance. Studied for stress-induced cortisol reduction.","Low in normal doses. High doses can overstimulate.",">3000 mg/kg (rats, oral)",,,"eurycoma-longifolia",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3654340/;Journal of the International Society of Sports Nutrition, 2013;Malaysian Herbal Monographs","false",,,,,,
"Ficus religiosa",,,,,,"calming;mood-balancing;mild sedative","ficus-religiosa",,"Unknown","Neuroprotective antioxidant and serotonin modulation",,,,"India, Southeast Asia",,,"spiritual;sedative;folk",,,,,,"ficus-religiosa",,,,,,,"Sacred Fig;Bodhi Tree","Furanocoumarins;Tannins","Used in Ayurveda and spiritual practice for mindfulness and peace."
"Flame Lily","Other","Any internal use","Highly poisonous ornamental sometimes misused.","None documented","12–24 hrs","intense nausea;weak delirium","gloriosa-superba","Unknown","Ornamental; toxic","Contains colchicine disrupting microtubules","1–3 hrs","Rapid GI absorption","Seeds or tubers occasionally ingested (dangerous)","Africa, Asia","Gloriosa superba","Severe vomiting, organ failure","☠️ toxic","Traditional poison and medicine","Very high","20 mg/kg (mice)","[object Object]","","flame-lily",,,,,,"<5 seeds",,,
"Foxglove","Other","Existing heart disease without supervision","Source of cardiac glycosides used for heart failure; overdose is fatal.","Diuretics, calcium channel blockers","6–12 hrs","cardiac stimulation","foxglove","Unknown","Regulated as medicinal","Cardiac glycosides inhibit Na⁺/K⁺-ATPase","30–60 min","Long half-life; renal excretion","Carefully dosed leaf extract","Europe","Digitalis purpurea","Arrhythmia, vision changes","☠️ toxic;💊 oral","Heart failure medication","Very high","3 mg/kg (digitoxin, oral)","[object Object]","","foxglove",,,,,,"0.1 g dried leaf equivalent",,,
"Frankincense (Boswellia)","Other","Not well documented","Resin incense with boswellic acids studied for anti-inflammatory effects.","Not well documented","Unknown","Trance;meditative awareness","frankincense-boswellia","Mild","Legal / Unregulated","Unknown","Varies","Not well documented","Resin burned","🌐 Global / Ritual","Unknown","Not well documented","✅ safe","Not well documented","Unknown","Unknown",,"","frankincense-boswellia",,,,,"1",,,,
"Galbulimima belgraveana","Ritual / Visionary","Unknown; caution due to potent effects","Rare rainforest tree providing psychoactive bark traditionally used in New Guinea for visionary experiences.","Avoid combining with other anticholinergics","4–8 h","dreamlike visions;dizziness;altered consciousness","galbulimima-belgraveana","Moderate to Strong","Little formal regulation","Contains himbacine-type alkaloids with muscarinic antagonist activity","30–60 min","Onset 30–60 min when consumed, lasting 4–8 h","Bark or leaves boiled into a decoction, sometimes mixed with ginger","Papua New Guinea and northern Australia","Galbulimima belgraveana","Nausea, vertigo, intense dreams","papua new guinea;hallucinogen;tree","Used by Papuan tribes for shamanic rituals and hunting magic","Reports of toxicity at high doses; data limited","Not established",,"","galbulimima-belgraveana",,,,,,,"Galbulimima;Agara","Himbacine;Galbulimimine","Used with Homalomena in psychoactive brews by Papuan tribes."
"Galphimia glauca","Anxiolytic / Sedative / Mexican Traditional","Avoid combining with benzodiazepines or strong CNS depressants. Insufficient data in pregnancy.","A Mexican herb used to treat anxiety, phobias, and restlessness. Clinical studies in Mexico show it to be comparable to benzodiazepines in reducing anxiety — but without sedation or dependency.","Mild additive effects with sedatives or alcohol.",,"Anxiety relief;Tranquility;Sleep aid;Reduced reactivity","galphimia-glauca","Mild–Moderate","Legal (limited international awareness)","Contains galphimine B, a nor-seco-triterpenoid that modulates GABAergic and dopaminergic systems, particularly by blocking dopaminergic overactivation in limbic areas.","30–60 min","Orally active. Peak effects seen after 30–60 minutes. Repeated use may enhance effect.","Traditionally brewed as tea. Now available as standardized extract tablets (Galphimine B content standardized in trials).","Mexico, Central America","Galphimia glauca","Very few. Rare reports of mild dizziness or GI upset. No withdrawal or dependence noted.","🌼 Anti-anxiety;🧘 Calm;🌿 Mexican folk medicine;💤 Sleep aid","Used for anxiety, panic attacks, emotional hyper-reactivity, and stress-related insomnia. Studied in treatment of specific phobias and social anxiety.","Low. No observed toxicity at clinical doses.",">5000 mg/kg (rats, oral extract)",,,"galphimia-glauca",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7614475/;Revista Mexicana de Neurociencia, 2014;Phytomedicine, 2012","false",,,,,,
"Gastrodia elata","Neuroprotective / Anticonvulsant / Traditional Chinese","None significant. Caution with CNS depressants or seizure meds.","A prized root in Traditional Chinese Medicine used to calm internal wind and treat dizziness, seizures, and nervous system disorders. It grows symbiotically with fungi in shaded forest floors.","May potentiate antiepileptics or anxiolytics. Monitor if used with neuroactive prescriptions.",,"Calms the liver;Relieves tremors;Supports cognition;Anti-epileptic","gastrodia-elata","Mild–Moderate","Legal worldwide","Contains gastrodin and vanillin derivatives that modulate GABA activity, reduce neuroinflammation, and support mitochondrial health. Protective against seizures and neurodegeneration.","30–90 min","Gastrodin is water-soluble and quickly absorbed. Peak plasma concentrations seen within 1–2 hours orally.","Dried rhizome is steamed, sliced, and decocted. Also extracted into granules or capsules in modern use.","China, Korea, Taiwan, Japan","Gastrodia elata","Rare. Occasionally mild sedation or dry mouth.","🧠 Neuroprotective;🌿 TCM;💫 Tremor relief;⚡ Anticonvulsant","Used for epilepsy, tremors, dizziness, stroke recovery, and tension headaches. Also supports memory and is studied for Alzheimer's and Parkinson’s models.","Low. Used safely in TCM for centuries.",">5000 mg/kg (rats, oral extract)",,,"gastrodia-elata",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6856235/;Phytomedicine, 2015;Chinese Pharmacopoeia – Tian Ma Entry","false",,,,,,
"Gelsemium sempervirens","Toxic / Nervine / Homeopathic","Do not self-administer. Avoid entirely unless under trained guidance. Toxic to children and animals.","A beautiful yet highly poisonous vine native to the southeastern U.S. Used in extremely low doses for anxiety, migraines, and spasms — but lethal in excess. Homeopathy and some experimental medicine have explored it for nervous tension.","Fatal when mixed with depressants, alcohol, opioids, or sedatives.",,"Muscle relaxation;Nervous system inhibition;Pain relief;Delirium (toxic doses)","gelsemium-sempervirens","Strong (toxic)","Legal but restricted in some areas","Contains gelsemine and gelseminine, which act as glycine receptor agonists and inhibit spinal reflexes. High doses paralyze the respiratory center.","20–30 min","Very potent. Onset: ~20–30 minutes. Peak ~1 hour. Extremely narrow therapeutic window.","Homeopathic dilutions (e.g., Gelsemium 6C, 30C). No safe DIY prep of raw plant. Root most toxic.","Southeastern U.S., Mexico","Gelsemium sempervirens","Dizziness, blurred vision, slurred speech, muscle weakness, respiratory depression. Fatal in high doses.","⚠️ Toxic;🌼 Southern herbalism;🧠 Nervine;💀 Respiratory depressant","Historically used for neuralgia, migraines, fevers, and anxiety — but now mostly used homeopathically. Still researched for neuropathic pain.","Extremely high. One drop of extract may be fatal.","Gelsemine ~10 mg/kg (mice, oral)",,,"gelsemium-sempervirens",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6288960/;Toxic Plants of North America – 2nd Ed.;American Journal of Therapeutics, 2012","false",,,,,,
"Genipa americana","Traditional / Ritual / Antimicrobial","Not for use on open wounds or in pregnancy (internal use).","An Amazonian fruit tree whose juice oxidizes into a black-blue dye. Used for temporary body art, sun protection, insect repellent, and ritual purification. Sometimes used in decoctions for fever or wounds.","None known.",,"Skin staining;Mild antibacterial;Cooling sensation;Symbolic use","genipa-americana","Mild (topical); moderate (oral folk prep)","Legal","Genipin (active compound) crosslinks with amino acids in skin keratin, forming a black pigment. Also displays mild antimicrobial and antioxidant properties.","Dye appears within 1–2 hours after oxidation","Topically absorbed pigment binds to skin proteins. Juice or fruit may be consumed orally in small traditional doses.","Unripe fruit juice applied to skin; fruit decocted for rare medicinal use.","Amazon Basin, Central & South America","Genipa americana","None when used externally. Large internal doses may cause GI upset or hypotension.","🌌 Body paint;🦟 Insect repellent;🌿 Traditional;🖤 Jagua tattoo","Topical use for decoration, bug repellent, minor skin infection; internal folk uses for respiratory infections and inflammation.","Low topically. Caution with internal use due to limited data.","Genipin LD50 >5000 mg/kg (rats, oral)",,,"genipa-americana",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1127453/;Journal of Ethnopharmacology, 2004;Amazonian Plant Medicine – Taylor, 2002","false",,,,,,
"Giant Reed","Ritual / Visionary","Limited data","Invasive reed rumored to contain tryptamines.","MAOIs","2–4 hrs","mild visions","arundo-donax","Unknown","Invasive species control","Root bark may contain DMT and bufotenine","20–60 min","Poorly studied","Root bark extracted","Mediterranean, Americas","Arundo donax","Nausea","🌿 root bark","Experimental entheogen","Unknown","Not established","[object Object]","","giant-reed",,,,,,"Unknown",,,
"Ginger",,"Gallstones, bleeding disorders.",,"Anticoagulants, antidiabetics.",,"","ginger",,"Unknown","Modulates prostaglandins and serotonin receptors; antiemetic and anti-inflammatory.",,"Oral (raw, tea, capsules); onset ~30 min; duration ~2–4 hours.",,"Unknown",,"Heartburn, bloating (rare).",,"Nausea relief, inflammation, digestive aid.",,"Ginger extract LD50 >5 g/kg (rats).",,,"ginger",,,"true","https://upload.wikimedia.org/wikipedia/commons/a/a3/Ginger_plant.jpg",,,,,
"Ginkgo biloba","Nootropic / Circulatory","Bleeding disorders, anticoagulant use","Unknown","Potentiates blood thinners like warfarin","Chronic use required","improved cognition;circulation boost;alertness","Unknown","Mild","Legal","Flavone glycosides and terpenoids enhance blood flow and modulate neurotransmission","Weeks of regular use","Onset gradual with regular dosing; effects build over weeks","Leaf extracts as tablets or tea","China, cultivated worldwide","Ginkgo biloba","Headache, upset stomach, possible bleeding risk","ancient;blood flow;memory","Used for memory loss, dementia, and circulatory issues","Low",">5 g/kg in animals","[object Object]","","ginkgo-biloba",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6567113/;Journal of Clinical Psychopharmacology, 2001;ESCOP Monograph – Ginkgo","false",,,,,,
"Gliricidia sepium","Antiparasitic / Agricultural / Ethnovet","Avoid ingestion unless properly prepared. Not for internal use in humans.","A fast-growing tropical tree used in traditional medicine and animal care. Known for treating scabies, wounds, and skin infections. Leaves contain natural insecticidal compounds.","None known topically.",,"Topical antiparasitic;Wound healing;Insect repellent;Mild analgesic","gliricidia-sepium","Mild–Moderate","Legal","Rich in tannins and coumarins with insecticidal, antibacterial, and anti-inflammatory effects. Used externally to kill lice, fleas, and skin pathogens.","Topical relief within hours","Topically active. Not commonly used internally due to mild toxicity.","Fresh leaf poultices, decoctions, or pastes for skin; rarely used in teas or internal form.","Central America, Philippines, tropical zones","Gliricidia sepium","Topical irritation in sensitive skin. Toxic to livestock if ingested raw in large quantities.","🦠 Antiparasitic;🌿 Ethnoveterinary;🌾 Agroforestry;🐾 Skin health","Used for skin diseases, minor wounds, and pest repellent in animals and humans. Also used as a green manure and fencing material.","Moderate (internal); safe topically in folk doses.","Not well established",,,"gliricidia-sepium",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8323025/;Philippine Herbal Medicine Compendium;Agroforestry & Ethnomedicine Reports, 2018","false",,,,,,
