Name,Scientificname,Region,Description,Effects,Mechanismofaction,Therapeuticuses,Sideeffects,Contraindications,Druginteractions,Toxicity,Legalstatus,Preparation,Onset,Intensity,Sources,Activecompounds,name_norm
Hedera helix,Hedera helix L.,"Europe, Asia",Common ivy; used in herbal medicine as an expectorant and bronchodilator.,"Expectorant, antispasmodic, anti-inflammatory",Saponins increase surfactant and reduce bronchial irritation,"Coughs, bronchitis, asthma","Allergic skin reaction, GI upset","Children under 2, allergies",Limited data,Moderate (raw plant),Legal,"Syrup, extract",Hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6277708/,"Hederacoside C, alpha-hederin",hedera helix
Heimia salicifolia,Heimia salicifolia Link & Otto,"Mexico, Central America",Sinicuichi; traditionally used for trance-like states and auditory hallucinations.,"Mild hallucinogen, sedative",Alkaloids act on auditory cortex and CNS (exact mechanism unclear),"Relaxation, ceremonial use, historical hearing enhancement","Dizziness, altered perception","Mental health conditions, driving","Sedatives, antidepressants",Moderate,Legal (caution advised),Fermented leaf tea or sun tea,30–90 minutes,Mild to moderate,https://pubmed.ncbi.nlm.nih.gov/23864706/,"Cryogenine, lythrine, nesodine",heimia salicifolia
Hibiscus sabdariffa,Hibiscus sabdariffa L.,"Africa, Asia, Caribbean",Roselle; tart red calyces used for cardiovascular and metabolic health.,"Antihypertensive, antioxidant, diuretic",Anthocyanins reduce oxidative stress and ACE activity,"Hypertension, hyperlipidemia, obesity","Lowered BP, dizziness",Pregnancy (high doses),"Diuretics, antihypertensives",Low,Legal,"Tea, extract, capsules",Hours to days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6621294/,"Anthocyanins, hibiscus acid, flavonoids",hibiscus sabdariffa
Humulus lupulus,Humulus lupulus L.,"Europe, North America, Asia","Hops; used as a sedative and digestive bitter, also in brewing.","Sedative, estrogenic, bitter tonic",Prenylated flavonoids bind GABA receptors and modulate estrogen receptors,"Insomnia, anxiety, menopausal symptoms","Drowsiness, allergic reaction","Depression, hormone-sensitive cancers","Sedatives, antidepressants",Low,Legal,"Tincture, capsules, tea",30–60 min,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4032844/,"Xanthohumol, humulone, lupulone",humulus lupulus
Hydrastis canadensis,Hydrastis canadensis L.,North America (Eastern forests),Goldenseal; antimicrobial and anti-inflammatory herb for mucous membranes.,"Antimicrobial, astringent, bitter tonic",Berberine and hydrastine inhibit microbial growth and inflammation,"Sinusitis, GI infections, skin conditions","GI irritation, nausea","Pregnancy, hypertension",CYP3A4 substrates,Moderate (long-term use),Legal (threatened in wild),"Tincture, capsules, powder",1–2 days,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4003706/,"Berberine, hydrastine, canadine",hydrastis canadensis
Hypericum perforatum,Hypericum perforatum L.,"Europe, Asia, Americas (naturalized)",St. John's Wort; used for depression and wound healing.,"Antidepressant, anti-inflammatory, antiviral","Hyperforin inhibits reuptake of serotonin, dopamine, and norepinephrine","Mild to moderate depression, neuralgia, wounds","Photosensitivity, dry mouth, dizziness","Bipolar disorder, strong sun exposure","SSRIs, OCs, anticoagulants (CYP450 inducer)",Moderate,Legal (regulated in some countries),"Extract, tea, oil (topical)",2–4 weeks,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3137480/,"Hypericin, hyperforin, flavonoids",hypericum perforatum
Hyssopus officinalis,Hyssopus officinalis L.,"Europe, Western Asia",Hyssop; aromatic herb for respiratory and digestive support.,"Expectorant, carminative, antiseptic",Essential oils stimulate secretion and smooth muscle relaxation,"Coughs, bronchitis, indigestion",Convulsions (high doses of oil),"Pregnancy, epilepsy",Anticonvulsants,Low to moderate,Legal,"Tea, tincture, essential oil",Minutes to hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3813044/,"Pinocamphone, isopinocamphone, flavonoids",hyssopus officinalis
Ilex guayusa,Ilex guayusa Loes.,"Amazon (Ecuador, Peru)",Caffeinated holly used traditionally as a lucid dreaming enhancer and stimulant.,"Stimulation, mental clarity, vivid dreams",Caffeine and theobromine stimulate the CNS and may enhance REM awareness,"Fatigue, alertness, dream recall","Insomnia, jitteriness, tachycardia","Anxiety disorders, hypertension","Stimulants, MAOIs, beta blockers",Low,Legal,Infusion of dried leaves (tea),15–30 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9444552/,"Caffeine, theobromine, polyphenols",ilex guayusa
Inula helenium,Inula helenium L.,"Europe, Asia",Elecampane; root herb for respiratory tract and digestive support.,"Expectorant, antimicrobial, digestive",Alantolactone stimulates ciliary motion and inhibits bacteria,"Bronchitis, cough, indigestion",Allergy in sensitive individuals,"Pregnancy, allergy to Asteraceae",None significant,Low,Legal,"Decoction, syrup, tincture",Hours to days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6163884/,"Alantolactone, inulin, sesquiterpene lactones",inula helenium
Iris germanica,Iris germanica L.,"Europe, Mediterranean",Orris root; fragrant rhizome used in perfumery and traditional medicine.,"Expectorant, diuretic, anti-inflammatory",Isoflavones and iridin influence secretory and anti-inflammatory pathways,"Cough, bronchitis, skin conditions","Nausea, vomiting (high doses)","Pregnancy, GI disorders",None well documented,Moderate,Legal (regulated in some countries),"Dried rhizome, powder",1–2 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6926634/,"Iridin, isoflavones, essential oils",iris germanica
Jatropha podagrica,Jatropha podagrica Hook.,"Central America, Caribbean",Ornamental shrub with toxic yet psychoactive latex in traditional medicine.,"Altered mood, light hallucinations, vomiting (reported)",Diterpenes likely modulate neurotransmission via unknown pathways,Folk use in rheumatism and snakebite; some ritual psychoactive reports,"Toxicity, gastrointestinal upset, convulsions",General internal use discouraged,Unknown,High,Legal but hazardous,"Latex extract (dangerous, not recommended)",Fast,"Unpredictable, potentially strong",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3541188/,"Diterpenes, phorbol esters",jatropha podagrica
Juglans nigra,Juglans nigra L.,Eastern North America,Black walnut; hull used for antiparasitic and antifungal effects.,"Antiparasitic, antifungal, astringent",Juglone inhibits microbial enzymes and disrupts membranes,"Intestinal parasites, fungal infections, eczema","GI upset, allergic reaction","Pregnancy, nut allergies","Antifungal meds, immunosuppressants",Moderate,Legal,"Extract, tincture, capsules",1–3 days,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6598730/,"Juglone, tannins, flavonoids",juglans nigra
Juniperus communis,Juniperus communis L.,"Europe, North America, Asia",Juniper berry; aromatic berries with diuretic and antiseptic properties.,"Diuretic, antiseptic, carminative",Essential oils stimulate renal function and reduce inflammation,"UTIs, bloating, joint pain",Kidney irritation (high dose),"Kidney disease, pregnancy","Diuretics, NSAIDs",Moderate,Legal,"Tea, tincture, capsules",Hours to days,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4606594/,"Terpenes, flavonoids, tannins",juniperus communis
Justicia pectoralis,Justicia pectoralis Jacq.,"Central/South America, Caribbean",Used as a snuff ingredient and ayahuasca admixture; produces mild euphoria and altered states.,"Euphoria, relaxation, dreaminess",Coumarins and tryptamine-related compounds may affect serotonin systems,"Respiratory issues, anxiety, spiritual balance","Drowsiness, nausea","Pregnancy, CNS depressants","Sedatives, SSRIs",Low to moderate,Legal,"Smoked, tea, or combined with other plants",15–30 min,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6231230/,"Coumarin, umbelliferone",justicia pectoralis
Lactuca virosa,Lactuca virosa L.,"Europe, North America","Wild lettuce; known as herbal opium for its sedative, pain-relieving, and hypnotic effects.","Sedation, mild euphoria, pain relief",Lactucin and lactucopicrin modulate opioid and cholinergic pathways,"Insomnia, anxiety, pain","Drowsiness, dizziness","Sedative use, pregnancy",CNS depressants,Low to moderate,Legal,"Latex extract, tincture, or tea",20–60 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7527925/,"Lactucin, lactucopicrin, sesquiterpene lactones",lactuca virosa
Laminaria digitata,Laminaria digitata (Hudson) J.V. Lamouroux,North Atlantic Ocean coasts,Kombu; brown seaweed rich in iodine used for thyroid support.,"Thyroid stimulant, demulcent, laxative",High iodine content supports thyroid hormone synthesis,"Hypothyroidism, goiter, constipation","Thyrotoxicosis (excess iodine), GI discomfort","Hyperthyroidism, iodine sensitivity",Thyroid meds,Moderate (iodine content),Legal,"Dried flakes, powder, capsules",Days to weeks,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7765000/,"Iodine, fucoidan, laminarin",laminaria digitata
Laurus nobilis,Laurus nobilis L.,Mediterranean region,Bay laurel; aromatic leaves used in cooking and traditional medicine.,"Digestive, anti-inflammatory, antimicrobial",Essential oils reduce inflammation and inhibit microbial growth,"Indigestion, rheumatism, colds","Allergic reactions, nausea (excess use)",Pregnancy (essential oil),Anticoagulants (mild),Low,Legal,"Leaves, essential oil, tea",Minutes to hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6270275/,"Eugenol, cineole, tannins",laurus nobilis
Lavandula angustifolia,Lavandula angustifolia Mill.,"Mediterranean, Europe",Lavender; aromatic flower used for relaxation and skin conditions.,"Anxiolytic, sedative, antispasmodic",Linalool modulates GABA receptors and inhibits CNS excitation,"Anxiety, insomnia, wounds","Allergic skin reaction, drowsiness",Hormone-sensitive conditions (topical use),CNS depressants,Low,Legal,"Essential oil, tea, tincture",Minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3612440/,"Linalool, linalyl acetate, terpenes",lavandula angustifolia
Leonotis leonurus,Leonotis leonurus (L.) R.Br.,Southern Africa,‘Wild dagga’; smoked as a cannabis substitute in Zulu traditions.,"Euphoria, relaxation, mild visual enhancement",Leonurine may interact with GABA and dopaminergic pathways,"Cough, fever, anxiety","Drowsiness, dry mouth","Pregnancy, CNS depressants","Sedatives, alcohol",Low,Legal,Smoked or brewed as tea,15–30 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6348043/,"Leonurine, diterpenes",leonotis leonurus
Leonurus cardiaca,Leonurus cardiaca L.,"Europe, Asia",Motherwort; herb for cardiovascular and menstrual support.,"Cardiotonic, nervine, uterine tonic",Leonurine influences GABA and uterine smooth muscle contraction,"Palpitations, anxiety, PMS","GI upset, uterine stimulation","Pregnancy, heavy menstruation","Cardiac meds, sedatives",Low to moderate,Legal,"Tea, tincture, capsules",Hours to days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8718686/,"Leonurine, stachydrine, alkaloids",leonurus cardiaca
Leonurus sibiricus,Leonurus sibiricus L.,"Asia, tropical Americas","Traditionally smoked for calming, euphoric, and slightly hallucinogenic effects.","Euphoria, relaxation, light hallucinations",Alkaloids affect serotonin and GABA receptors,"Anxiety, sleep, menstrual regulation","Sedation, dizziness",Pregnancy,CNS depressants,Low,Legal,Smoked or brewed as tea,15–30 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4882077/,"Leonurine, stachydrine",leonurus sibiricus
Lepidium meyenii,Lepidium meyenii Walp.,Andes Mountains (Peru),"Maca root; adaptogen for fertility, stamina, and hormonal balance.","Adaptogenic, aphrodisiac, energy-enhancing",Sterols and macamides modulate endocrine and mitochondrial activity,"Libido, energy, menopause, fertility",Insomnia (high doses),Hormone-sensitive conditions,Hormonal therapies,Low,Legal,"Powder, capsules, extract",Days to weeks,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3184420/,"Macamides, macaenes, sterols",lepidium meyenii
Lilium candidum,Lilium candidum L.,"Mediterranean, Middle East",Madonna lily; traditional remedy for skin and respiratory conditions.,"Demulcent, expectorant, anti-inflammatory",Mucilage soothes mucosa; saponins aid expectoration,"Coughs, skin ulcers, sore throat","Allergic reaction, mild GI upset",Allergy to Liliaceae,None significant,Low,Legal,"Infusion, topical poultice",1–2 hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7168962/,"Mucilage, saponins, flavonoids",lilium candidum
Linum usitatissimum,Linum usitatissimum L.,Worldwide (cultivated),"Flaxseed; rich in fiber and omega-3s, supports digestion and cardiovascular health.","Laxative, anti-inflammatory, hypocholesterolemic",Lignans and fiber modulate lipid metabolism and inflammation,"Constipation, high cholesterol, hormonal imbalance","Bloating, gas",Bowel obstruction,"Anticoagulants, diabetes meds",Low,Legal,"Ground seed, oil, infusion",12–24 hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8812082/,"Lignans, alpha-linolenic acid, fiber",linum usitatissimum
Lippia alba,Lippia alba (Mill.) N.E.Br. ex Britton & P. Wilson,"Central & South America, Caribbean",Bushy matgrass; aromatic shrub used for anxiety and digestion.,"Anxiolytic, digestive, antispasmodic",Essential oils modulate GABA and smooth muscle relaxation,"Anxiety, indigestion, insomnia","Drowsiness, allergic reaction","Pregnancy, sedative use",CNS depressants,Low,Legal,"Infusion, essential oil",30–60 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7792699/,"Linalool, carvone, citral",lippia alba
Lobelia inflata,Lobelia inflata L.,Eastern North America,Indian tobacco; used for respiratory stimulation and smoking cessation.,"Respiratory stimulant, emetic, antispasmodic",Lobeline acts on nicotinic receptors and CNS,"Asthma, bronchitis, smoking withdrawal","Nausea, vomiting, dizziness","Pregnancy, heart disease","Nicotine, CNS depressants",Moderate to high,Regulated in some countries,"Tincture, capsules",Minutes,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5713064/,"Lobeline, piperidine alkaloids",lobelia inflata
Lomatium dissectum,Lomatium dissectum (Nutt.) Mathias & Constance,Western North America,Biscuitroot; antiviral root used traditionally for respiratory infections.,"Antiviral, expectorant, immune stimulant",Furanocoumarins inhibit viral replication and support immunity,"Colds, flu, bronchitis",Skin rash (photosensitization),"Pregnancy, sunlight exposure",Photosensitizing agents,Moderate,Legal,"Tincture, decoction",1–2 days,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3295351/,"Furanocoumarins, resins, flavonoids",lomatium dissectum
Lonicera japonica,Lonicera japonica Thunb.,"East Asia (China, Japan, Korea)",Japanese honeysuckle; known for its antimicrobial and anti-inflammatory properties.,"Antiviral, antibacterial, anti-inflammatory",Chlorogenic acid inhibits pro-inflammatory pathways and pathogens,"Colds, influenza, infections, inflammation",Allergic reactions (rare),"Pregnancy, children under 2",Immunosuppressants,Low,Legal,"Tea, tincture, decoction",Few hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6791284/,"Chlorogenic acid, luteolin, lonicerin",lonicera japonica
Lycopodium clavatum,Lycopodium clavatum L.,"Northern Hemisphere, especially Europe and Asia",Club moss; used traditionally for digestive and urinary issues.,"Diuretic, antispasmodic, digestive",Alkaloids and sporopollenin modulate smooth muscle tone,"Bloating, urinary tract irritation, constipation","Skin irritation (topical), nausea (high doses)","Pregnancy, GI inflammation",Diuretics,Moderate (especially spores),Legal,"Tincture, spore powder",1–2 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8875109/,"Alkaloids (lycopodine), sporopollenin",lycopodium clavatum
