id,common,scientific,category,intensity,region,legalstatus,description,effects,mechanismofaction,compound,tags,interactions,contraindications,dosage,therapeutic,safety,sideeffects,toxicity,toxicity_ld50,is_controlled_substance,sources
clavo-huasca,,Tynanthus panurensis,empathogen / euphoriant,Mild,amazon basin,Legal,amazonian vine used in both physical and spiritual medicine. traditionally consumed as a libido enhancer and pre-ayahuasca preparation.,Aphrodisiac;calming;digestive,Alkaloids may modulate dopamine and serotonin; warming vasodilator,,✅ safe;🌿 amazonian;🔥 aphrodisiac,"avoid cns depressants, alcohol","pregnancy, blood pressure meds",,"aphrodisiac, digestive aid in amazonian medicine",,mild hypotension or fatigue,Low,Not established,false,
clitoria-ternatea,,Clitoria ternatea,nootropic / adaptogen / nervine,Mild,"india, thailand, malaysia, tropics worldwide",Legal,"a striking blue-flowered vine used in ayurvedic and southeast asian medicine. known for its nootropic, anti-anxiety, and anti-inflammatory effects. often brewed into vivid blue tea and used ceremonially in thailand and india.",Cognitive enhancement;Anxiolytic;Neuroprotective;Mild sedation,"Contains anthocyanins (ternatins), flavonoids, and cyclotides. May modulate acetylcholine and GABA signaling, as well as BDNF expression in the brain.",,🌸 blue tea;🧠 brain tonic;🧘 adaptogen;💙 anthocyanins,may mildly potentiate sedatives or anxiolytics.,caution with hypotensive drugs. avoid during pregnancy until more data is available.,,"traditionally used to enhance memory, relieve stress, calm nerves, and as a visual eye tonic. topical extracts also used for hair and skin.",,very few reported. some may experience mild drowsiness or hypotension.,Very low. Consumed widely as food and medicine.,"No established human LD50; >2000 mg/kg (rats, oral, extract)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7510498/;Journal of Ethnopharmacology, 2010;Ayurvedic Pharmacopoeia of India"
erythroxylum-coca,,Erythroxylum coca,stimulant,Unknown,andes,Controlled in most countries,traditional andean stimulant leaf.,euphoria;energy,Cocaine inhibits monoamine reuptake,,⚠️ restricted;🌿 leaf,"stimulants, maois","heart issues, pregnancy",1–3 g dried leaves,altitude sickness,,"elevated heart rate, insomnia",High in purified form,95 mg/kg (mice),false,
coca-leaf,,,none,unknown,unknown,Unknown,none,,"Cocaine alkaloids inhibit dopamine, norepinephrine, and serotonin reuptake.",,none,"stimulants, maois, beta-blockers.","cardiovascular disease, pregnancy.",,"altitude sickness, energy boost, appetite suppression (traditional use).",,"euphoria, increased heart rate, dependency (with concentrated extracts).",,"Cocaine LD50 ~95 mg/kg (oral, rats).",false,
coffea-arabica,,Coffea arabica,stimulant,Unknown,worldwide,Legal,beloved beverage plant containing caffeine.,alertness;energy,Caffeine blocks adenosine receptors increasing neurotransmitter release,,☕ brewable,"stimulants, maois",heart arrhythmia,50–150 mg caffeine,fatigue reduction,,"jitters, insomnia",Low,~192 mg/kg (rats),false,
cola-acuminata,,Cola acuminata,stimulant / cultural,Moderate,west africa; cultivated globally,Legal,"a caffeine-rich seed native to west africa, traditionally chewed in ceremonies and social settings. kola nut is a powerful natural stimulant, historically used in early coca-cola formulas and as a fatigue-fighting tonic.",Stimulation;Increased alertness;Mood elevation;Appetite suppression,"Contains caffeine, theobromine, and kolanin. These stimulate the central nervous system via adenosine receptor antagonism and mild dopaminergic effects.",,⚡ caffeine;🥥 traditional stimulant;🌍 afro-indigenous use,"interacts with maois, beta-blockers, and other stimulants. may reduce sedative effects of some medications.","avoid with heart conditions, insomnia, or in combination with strong stimulants.",,"used to combat fatigue, enhance performance, support digestion, and as a social stimulant. also used in weight loss supplements.",,"insomnia, anxiety, jitteriness, increased heart rate. long-term overuse may affect adrenal function.",Moderate at high doses (caffeine-related).,"Caffeine LD50: ~192 mg/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4703266/;Journal of Pharmacognosy, 2013;The Cultural Uses of Cola – African Medicine Studies"
cola-nitida,,Cola nitida,stimulant,Moderate,africa,Legal,kola nut used in energy drinks and ceremonies.,Alertness;reduced fatigue,Caffeine and kolanin stimulate CNS,,stimulant;✅ safe;🌿 seed,other stimulants,"heart conditions, pregnancy",,traditional energizer,,"insomnia, jitteriness",Moderate,Caffeine LD50 ~192 mg/kg (rat),false,
Unknown,,Plectranthus scutellarioides,psychedelic / ornamental,Mild,tropical asia,Legal,unknown,mild visuals;color enhancement;relaxation,Unclear; may act on serotonergic pathways,,lamiaceae;painted nettle;visionary,unknown,none known,,rarely used; some folk use for divination,,"headache, nausea at high doses",Low,Not established,false,
combretum-quadrangulare,Sakae Naa,Combretum quadrangulare,stimulant,Mild to Moderate,"laos, cambodia, thailand",Legal with little regulation,"often marketed as “sakae naa,” this plant is used as a mild energizing substitute for kratom.",heightened alertness;subtle euphoria;increased focus,Leaves contain combretol and related alkaloids acting on adrenergic systems,Combretol;Combretin,sakae naa;southeast asia;energy,may potentiate other stimulants,"hypertension, heart conditions",,traditional stimulant and tonic in laos and thailand,,"jitters, insomnia if overused",Limited data but appears low at customary doses,Not established,false,"https://erowid.org/plants/sakae_naa/;Thai Ethnobotany Compendium, 2015;Ethnopharmacology of Southeast Asia – WHO Report"
convolvulus-arvensis,,Convolvulus arvensis,ethnobotanical,unknown,"europe, north america",Unknown,"bindweed, a relative of morning glory, contains ergoline alkaloids and is under investigation for mild entheogenic potential.",light euphoria;subtle visual shifts,5-HT2A agonist (potential),Ergoline alkaloids (trace),entheogen;ergoline;wild plant,none,none,,none,,none,,,false,
convolvulus-pluricaulis,,Convolvulus pluricaulis,ayurvedic / nootropic / nervine,Mild,"india, nepal, southeast asia",Legal worldwide,"one of ayurveda’s most revered medhya rasayanas (brain tonics). shankhpushpi is used to enhance memory, reduce anxiety, and balance vata/pitta energies. often prescribed for insomnia, fatigue, and poor concentration.",Memory enhancement;Stress reduction;Mental clarity;Mild sedation,Contains alkaloids like convolvine and flavonoids that may modulate GABA and acetylcholine pathways. Also shows antioxidant and adaptogenic activity.,,🧠 medhya;🌿 ayurvedic nootropic;🧘 nervine tonic,"may mildly potentiate benzodiazepines, barbiturates, or other cns depressants.",none major. caution with sedatives or in hypotension.,,"used for cognitive decline, anxiety, adhd, insomnia, and as a rejuvenating adaptogen. may assist in ptsd and stress disorders.",,very mild. excessive use may cause drowsiness or lowered blood pressure.,Very low. Widely used in Ayurvedic pediatric formulas.,">2 g/kg (rats, oral, extract)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3459457/;Ayurvedic Pharmacopoeia of India;Journal of Ethnopharmacology, 2010"
shankhpushpi,,,none,unknown,unknown,Unknown,none,,Enhances cholinergic activity; acts as a nootropic and neuroprotective agent.,,none,"sedatives, anticholinergics.","pregnancy, hypotension.",,"memory enhancement, anxiety reduction, cognitive support.",,"mild sedation, gi discomfort (rare).",,Low; used safely in Ayurveda.,false,
copal,,Unknown,ritual / visionary,Mild,🌐 global / ritual,Legal / Unregulated,resin from bursera trees burned ceremonially to purify and induce trance.,Purifying;sacred aroma;trance enhancement,Unknown,,✅ safe;🔮 ritual;🕯️ ritual,not well documented,not well documented,,not well documented,1,not well documented,Unknown,Unknown,false,
corydalis-yanhusuo,Yanhusuo,Corydalis yanhusuo,sedative / analgesic,Moderate,china and east asia,Legal,tubers of this asian herb provide notable pain relief and a tranquil state when used as tea or pills.,analgesia;relaxation;subtle dreaminess,Alkaloids such as tetrahydropalmatine act on dopamine and GABA receptors,Tetrahydropalmatine (THP),tcm;dopamine;pain relief,may potentiate sedatives or dopaminergic drugs,"pregnancy, liver disease, large doses",,traditional chinese remedy for pain and insomnia,,"drowsiness, dizziness",Overuse may cause liver stress,>1 g/kg in rodents,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4046635/;Journal of Pain Research, 2013;Pharmacopoeia of the People’s Republic of China"
crataegus-monogyna,,Crataegus monogyna,cardiovascular / tonic / nervine,Mild,"europe, north africa, west asia",Legal,"a thorny shrub known for its small red berries and heart-boosting properties. used in european herbalism for centuries to support circulation, reduce anxiety, and tone the cardiovascular system.",Heart tonic;Circulation support;Anxiolytic;Antioxidant,"Rich in flavonoids and proanthocyanidins. Improves coronary blood flow, reduces vascular resistance, and has mild ACE-inhibiting properties. Antioxidant effects may protect endothelial tissue.",,❤️ heart tonic;🍒 berry;🌿 nervine,may potentiate beta-blockers or ace inhibitors. avoid with nitrates without supervision.,caution with digitalis drugs or other cardiac medications. monitor blood pressure closely.,,"used for mild heart failure, high blood pressure, arrhythmia, anxiety, and fatigue. may improve exercise tolerance in cardiovascular conditions.",,very rare. possible dizziness or nausea in high doses.,Very low. Considered safe in standard dosing.,">3000 mg/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3249903/;ESC Guidelines on Hawthorn, 2019;Herbal Medicine Monographs – WHO"
crocus-sativus,,Crocus sativus,nootropic / mood enhancer / culinary,Mild–Moderate,"iran, india (kashmir), greece, spain",Legal,"the world’s most expensive spice, saffron has been used for thousands of years in cooking, medicine, and ritual. its stigma threads contain compounds that brighten mood, enhance cognition, and protect neural function.",Euphoria;Antidepressant;Cognitive support;Visual clarity,"Contains crocin, safranal, and picrocrocin. These modulate serotonin, dopamine, and GABA signaling. Also antioxidant and anti-inflammatory.",,🌼 mood-lifting;🧠 nootropic;🧘 calm focus;💊 ssri-like,"possible synergistic effects with ssris, maois, or sedatives.",avoid in pregnancy or with strong antidepressants unless supervised.,,"used for depression, pms, cognitive decline, and visual fatigue. studies show efficacy comparable to ssris at low doses.",,"rare. high doses may cause nausea, dizziness, or uterine stimulation.",Low at standard doses; high doses (>5g) may be toxic.,"Crocetin LD50: ~2000 mg/kg (mice, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4431160/;Phytotherapy Research, 2016;Traditional Persian Medicine – Avicenna Canon"
curcuma-longa,,Curcuma longa,anti-inflammatory / adaptogen / culinary,Mild,"india, southeast asia",Legal worldwide,"a golden root revered in ayurveda and traditional chinese medicine. curcumin, its key compound, fights inflammation, supports liver health, and improves brain function. used widely in cooking, teas, and supplements.",Anti-inflammatory;Antioxidant;Liver tonic;Joint pain relief,"Curcumin inhibits COX-2 and NF-κB, reduces pro-inflammatory cytokines, and modulates glutathione and serotonin levels. Bioavailability enhanced with black pepper (piperine).",,💛 anti-inflammatory;🧠 brain support;🍛 culinary adaptogen,"interacts with anticoagulants, nsaids, and some chemotherapeutics.","caution with gallstones, bleeding disorders, or blood thinners.",,"used for arthritis, inflammation, liver detox, depression, cognitive decline, metabolic syndrome, and gut repair.",,may cause stomach upset in high doses. risk of gallbladder contraction or bleeding at large doses.,Very low. Doses up to 8g/day studied safely.,">2000 mg/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5664031/;Ayurvedic Pharmacopoeia of India;Journal of Alternative and Complementary Medicine, 2015"
turmeric,,,none,unknown,unknown,Unknown,none,,"Curcumin inhibits COX-2, NF-κB; anti-inflammatory and antioxidant.",,none,"nsaids, anticoagulants.","gallstones, bleeding disorders.",,"inflammation, pain, digestion.",,gi issues (rare).,,Curcumin LD50 ~2 g/kg (mice).,false,
cyperus-articulatus,,Cyperus articulatus,ritual / visionary,Mild,"africa, caribbean, amazon",Legal,"known as piripiri or guinea rush, this sedge is used in afro-caribbean and amazonian rituals for mild visionary states and spiritual grounding.",Calm;focus;light trance,Unknown; may involve sesquiterpenes,,✅ safe;🌿 piripiri;🧘 ritual,unknown,unknown,,"spiritual clarity, dream work, digestion",,rare; mild sedation,Low,Not established,false,
